teff,logg,period
3744.0,4.83,38.254
3982.0,4.5,23.522
3686.0,4.79,18.506
3817.0,4.79,8.553
3957.0,4.72,38.64
4125.0,4.63,42.094
3719.0,4.49,32.224
3794.0,4.83,37.976
4023.0,4.45,11.899
3992.0,4.72,33.736
4117.0,4.44,22.176
4032.0,4.55,13.615
4159.0,4.5,13.25
3590.0,4.94,21.493
3312.0,4.99,41.45
3460.0,4.88,47.719
4102.0,4.51,15.032
3966.0,4.43,15.0
4196.0,4.55,22.242
3969.0,4.69,41.933
3903.0,4.72,23.398
4199.0,4.75,21.942
4303.0,4.75,37.903
3612.0,4.8,7.907
3729.0,4.8,31.346
4242.0,4.7,20.421
4360.0,4.61,23.752
4132.0,4.54,20.873
3967.0,4.7,36.617
3702.0,4.81,15.527
3435.0,4.9,41.434
3490.0,4.92,54.037
3404.0,4.91,4.351
4355.0,4.68,29.592
4384.0,4.57,35.535
4204.0,4.56,21.909
4300.0,4.72,28.323
4272.0,4.58,40.277
4121.0,4.59,15.908
3708.0,4.76,21.051
3921.0,4.51,20.821
4320.0,4.72,20.59
4269.0,4.6,38.23
3439.0,4.95,21.806
3779.0,4.83,29.047
4090.0,4.43,18.061
4314.0,4.64,19.767
4331.0,4.67,11.603
3985.0,4.71,15.8
4233.0,4.52,14.952
4268.0,4.58,23.42
4138.0,4.65,11.967
3732.0,4.82,36.366
4324.0,4.29,0.687
4311.0,4.63,13.119
4180.0,4.61,13.695
4034.0,4.41,36.873
4287.0,4.69,11.449
4095.0,4.75,38.604
3710.0,4.83,31.198
4302.0,4.63,28.798
4219.0,4.48,43.739
4222.0,4.52,29.729
3752.0,4.79,34.623
3635.0,4.81,18.676
